Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
22,Sat,2020-02-15,,Jagiellonia,,Korona Kielce,,Stadion Miejski,,,
22,Sat,2020-02-15,,RKS Raków,,Legia Warsaw,,Stadion Raków,,,
22,Sat,2020-02-15,,Cracovia,,Lech Poznań,,Stadion Cracovii,,,
22,Sat,2020-02-15,,Zagłębie Lubin,,Wisła Kraków,,Stadion Zagłębia Lubin,,,
22,Sat,2020-02-15,,Pogoń Szczecin,,Śląsk Wrocław,,Stadion Miejski im. Floriana Krygiera,,,
22,Sat,2020-02-15,,Lechia Gdańsk,,Piast Gliwice,,Stadion Energa Gdańsk,,,
22,Sat,2020-02-15,,Górnik Zabrze,,Arka Gdynia,,Arena Zabrze,,,
,,,,,,,,,,,
23,Sat,2020-02-22,,Wisła Kraków,,Korona Kielce,,Stadion Miejski im. Henryka Reymana,,,
23,Sat,2020-02-22,,Lech Poznań,,Lechia Gdańsk,,INEA stadion,,,
23,Sat,2020-02-22,,Wisła Płock,,Zagłębie Lubin,,Stadion Miejski im. Henryka Reymana,,,
23,Sat,2020-02-22,,Piast Gliwice,,Cracovia,,Stadion Miejski,,,
23,Sat,2020-02-22,,Śląsk Wrocław,,Górnik Zabrze,,Stadion Miejski,,,
23,Sat,2020-02-22,,Legia Warsaw,,Jagiellonia,,Stadion Miejski Legii Warszawa im. Marsz...,,,
23,Sat,2020-02-22,,Łódzki KS,,Pogoń Szczecin,,Stadion ŁKS-u,,,
23,Sat,2020-02-22,,Arka Gdynia,,RKS Raków,,Stadion GOSiR,,,
,,,,,,,,,,,
24,Sun,2020-03-01,,Zagłębie Lubin,,Śląsk Wrocław,,Stadion Zagłębia Lubin,,,
24,Sun,2020-03-01,,Arka Gdynia,,Łódzki KS,,Stadion GOSiR,,,
24,Sun,2020-03-01,,RKS Raków,,Piast Gliwice,,Stadion Raków,,,
24,Sun,2020-03-01,,Jagiellonia,,Lech Poznań,,Stadion Miejski,,,
24,Sun,2020-03-01,,Legia Warsaw,,Cracovia,,Stadion Miejski Legii Warszawa im. Marsz...,,,
24,Sun,2020-03-01,,Wisła Kraków,,Wisła Płock,,Stadion Miejski im. Henryka Reymana,,,
24,Sun,2020-03-01,,Górnik Zabrze,,Pogoń Szczecin,,Arena Zabrze,,,
24,Sun,2020-03-01,,Korona Kielce,,Lechia Gdańsk,,Kolporter Arena,,,
,,,,,,,,,,,
25,Wed,2020-03-04,,Lech Poznań,,Górnik Zabrze,,INEA stadion,,,
25,Wed,2020-03-04,,Lechia Gdańsk,,Legia Warsaw,,Stadion Energa Gdańsk,,,
25,Wed,2020-03-04,,Piast Gliwice,,Arka Gdynia,,Stadion Miejski,,,
25,Wed,2020-03-04,,Wisła Płock,,RKS Raków,,Stadion Miejski im. Henryka Reymana,,,
25,Wed,2020-03-04,,Pogoń Szczecin,,Jagiellonia,,Stadion Miejski im. Floriana Krygiera,,,
25,Wed,2020-03-04,,Cracovia,,Wisła Kraków,,Stadion Cracovii,,,
25,Wed,2020-03-04,,Śląsk Wrocław,,Korona Kielce,,Stadion Miejski,,,
25,Wed,2020-03-04,,Łódzki KS,,Zagłębie Lubin,,Stadion ŁKS-u,,,
,,,,,,,,,,,
26,Sat,2020-03-07,,Jagiellonia,,Śląsk Wrocław,,Stadion Miejski,,,
26,Sat,2020-03-07,,Arka Gdynia,,Wisła Płock,,Stadion GOSiR,,,
26,Sat,2020-03-07,,Korona Kielce,,Łódzki KS,,Kolporter Arena,,,
26,Sat,2020-03-07,,Legia Warsaw,,Piast Gliwice,,Stadion Miejski Legii Warszawa im. Marsz...,,,
26,Sat,2020-03-07,,Wisła Kraków,,Lech Poznań,,Stadion Miejski im. Henryka Reymana,,,
26,Sat,2020-03-07,,RKS Raków,,Pogoń Szczecin,,Stadion Raków,,,
26,Sat,2020-03-07,,Górnik Zabrze,,Cracovia,,Arena Zabrze,,,
26,Sat,2020-03-07,,Zagłębie Lubin,,Lechia Gdańsk,,Stadion Zagłębia Lubin,,,
,,,,,,,,,,,
27,Sat,2020-03-14,,Piast Gliwice,,Wisła Kraków,,Stadion Miejski,,,
27,Sat,2020-03-14,,Lech Poznań,,Legia Warsaw,,INEA stadion,,,
27,Sat,2020-03-14,,Śląsk Wrocław,,RKS Raków,,Stadion Miejski,,,
27,Sat,2020-03-14,,Łódzki KS,,Górnik Zabrze,,Stadion ŁKS-u,,,
27,Sat,2020-03-14,,Lechia Gdańsk,,Arka Gdynia,,Stadion Energa Gdańsk,,,
27,Sat,2020-03-14,,Wisła Płock,,Korona Kielce,,Stadion Miejski im. Henryka Reymana,,,
27,Sat,2020-03-14,,Pogoń Szczecin,,Zagłębie Lubin,,Stadion Miejski im. Floriana Krygiera,,,
27,Sat,2020-03-14,,Cracovia,,Jagiellonia,,Stadion Cracovii,,,
,,,,,,,,,,,
28,Sat,2020-03-21,,Górnik Zabrze,,Lechia Gdańsk,,Arena Zabrze,,,
28,Sat,2020-03-21,,Pogoń Szczecin,,Cracovia,,Stadion Miejski im. Floriana Krygiera,,,
28,Sat,2020-03-21,,Korona Kielce,,Piast Gliwice,,Kolporter Arena,,,
28,Sat,2020-03-21,,Zagłębie Lubin,,Lech Poznań,,Stadion Zagłębia Lubin,,,
28,Sat,2020-03-21,,RKS Raków,,Łódzki KS,,Stadion Raków,,,
28,Sat,2020-03-21,,Jagiellonia,,Wisła Płock,,Stadion Miejski,,,
28,Sat,2020-03-21,,Wisła Kraków,,Legia Warsaw,,Stadion Miejski im. Henryka Reymana,,,
28,Sat,2020-03-21,,Arka Gdynia,,Śląsk Wrocław,,Stadion GOSiR,,,
,,,,,,,,,,,
29,Sat,2020-04-04,,Wisła Płock,,Śląsk Wrocław,,Stadion Miejski im. Henryka Reymana,,,
29,Sat,2020-04-04,,Lech Poznań,,Pogoń Szczecin,,INEA stadion,,,
29,Sat,2020-04-04,,Wisła Kraków,,RKS Raków,,Stadion Miejski im. Henryka Reymana,,,
29,Sat,2020-04-04,,Lechia Gdańsk,,Cracovia,,Stadion Energa Gdańsk,,,
29,Sat,2020-04-04,,Zagłębie Lubin,,Korona Kielce,,Stadion Zagłębia Lubin,,,
29,Sat,2020-04-04,,Łódzki KS,,Jagiellonia,,Stadion ŁKS-u,,,
29,Sat,2020-04-04,,Piast Gliwice,,Górnik Zabrze,,Stadion Miejski,,,
29,Sat,2020-04-04,,Legia Warsaw,,Arka Gdynia,,Stadion Miejski Legii Warszawa im. Marsz...,,,
,,,,,,,,,,,
30,Sat,2020-04-11,,Arka Gdynia,,Wisła Kraków,,Stadion GOSiR,,,
30,Sat,2020-04-11,,Górnik Zabrze,,Legia Warsaw,,Arena Zabrze,,,
30,Sat,2020-04-11,,RKS Raków,,Zagłębie Lubin,,Stadion Raków,,,
30,Sat,2020-04-11,,Śląsk Wrocław,,Łódzki KS,,Stadion Miejski,,,
30,Sat,2020-04-11,,Korona Kielce,,Lech Poznań,,Kolporter Arena,,,
30,Sat,2020-04-11,,Cracovia,,Wisła Płock,,Stadion Cracovii,,,
30,Sat,2020-04-11,,Pogoń Szczecin,,Lechia Gdańsk,,Stadion Miejski im. Floriana Krygiera,,,
30,Sat,2020-04-11,,Jagiellonia,,Piast Gliwice,,Stadion Miejski,,,
